id,raceId,constructorId,grid,positionOrder,points,statusId
573,45,4,7,8,1.0,11
574,45,1,10,9,0.0,11
575,45,4,13,10,0.0,11
576,45,11,14,11,0.0,11
577,45,8,15,12,0.0,11
578,45,7,8,13,0.0,11
588,46,1,1,1,10.0,1
589,46,6,3,2,8.0,1
590,46,2,2,3,6.0,1
591,46,1,6,4,5.0,1
592,46,2,7,5,4.0,1
593,46,7,5,6,3.0,1
594,46,3,4,7,2.0,1
595,46,4,11,8,1.0,1
596,46,9,9,9,0.0,1
597,46,7,8,10,0.0,11
598,46,9,10,11,0.0,11
599,46,4,13,12,0.0,11
600,46,6,14,13,0.0,11
601,46,3,12,14,0.0,11
602,46,8,19,15,0.0,11
603,46,5,20,16,0.0,11
604,46,12,21,17,0.0,12
605,46,11,18,18,0.0,12
610,47,6,1,1,10.0,1
611,47,6,3,2,8.0,1
612,47,1,4,3,6.0,1
613,47,2,6,4,5.0,1
614,47,1,2,5,4.0,1
615,47,4,7,6,3.0,1
616,47,3,8,7,2.0,1
617,47,2,5,8,1.0,1
618,47,4,10,9,0.0,1
619,47,9,13,10,0.0,1
620,47,3,14,11,0.0,1
621,47,7,16,12,0.0,11
622,47,11,21,13,0.0,11
623,47,8,11,14,0.0,11
624,47,5,15,15,0.0,11
625,47,7,9,16,0.0,11
626,47,11,22,17,0.0,11
627,47,8,17,18,0.0,11
628,47,5,18,19,0.0,11
629,47,12,20,20,0.0,12
632,48,1,1,1,10.0,1
633,48,1,2,2,8.0,1
634,48,6,5,3,6.0,1
635,48,2,4,4,5.0,1
636,48,2,6,5,4.0,1
637,48,3,8,6,3.0,1
638,48,4,7,7,2.0,1
639,48,11,10,8,1.0,1
640,48,9,11,9,0.0,1
641,48,11,12,10,0.0,1
642,48,7,9,11,0.0,1
643,48,4,15,12,0.0,11
644,48,3,13,13,0.0,11
645,48,8,14,14,0.0,11
646,48,7,18,15,0.0,11
647,48,8,17,16,0.0,11
648,48,5,19,17,0.0,11
649,48,5,16,18,0.0,11
650,48,12,21,19,0.0,11
651,48,12,22,20,0.0,11
654,49,6,1,1,10.0,1
655,49,6,2,2,8.0,1
656,49,1,3,3,6.0,1
657,49,1,4,4,5.0,1
658,49,2,6,5,4.0,1
659,49,3,5,6,3.0,1
660,49,9,7,7,2.0,1
661,49,4,9,8,1.0,1
662,49,2,14,9,0.0,1
663,49,7,10,10,0.0,1
664,49,7,8,11,0.0,1
665,49,5,13,12,0.0,11
666,49,11,17,13,0.0,11
667,49,12,19,14,0.0,11
668,49,8,18,15,0.0,11
669,49,8,20,16,0.0,11
670,49,12,21,17,0.0,11
676,50,1,1,1,10.0,1
677,50,4,11,2,8.0,1
678,50,6,3,3,6.0,1
679,50,9,12,4,5.0,1
680,50,4,10,5,4.0,1
681,50,6,4,6,3.0,1
682,50,2,9,7,2.0,1
683,50,12,20,8,1.0,1
684,50,5,14,9,0.0,1
685,50,11,17,10,0.0,1
686,50,11,6,11,0.0,22
687,50,12,22,12,0.0,11
688,50,7,13,13,0.0,11
689,50,2,5,14,0.0,39
690,50,8,21,15,0.0,4
698,51,6,2,1,10.0,1
699,51,1,4,2,8.0,1
700,51,6,3,3,6.0,1
701,51,5,17,4,5.0,1
702,51,11,10,5,4.0,1
703,51,5,11,6,3.0,1
704,51,2,8,7,2.0,1
705,51,9,5,8,1.0,1
706,51,4,13,9,0.0,1
707,51,9,7,10,0.0,1
708,51,4,18,11,0.0,1
709,51,3,19,12,0.0,11
710,51,7,12,13,0.0,11
711,51,8,20,14,0.0,11
712,51,11,16,15,0.0,11
713,51,3,15,16,0.0,12
714,51,12,22,17,0.0,13
720,52,6,3,1,10.0,1
721,52,6,1,2,8.0,1
722,52,1,4,3,6.0,1
723,52,3,10,4,5.0,1
724,52,2,7,5,4.0,1
725,52,2,6,6,3.0,1
726,52,1,2,7,2.0,11
727,52,7,8,8,1.0,11
728,52,9,9,9,0.0,11
729,52,3,19,10,0.0,11
730,52,7,15,11,0.0,11
731,52,8,18,12,0.0,12
732,52,5,14,13,0.0,12
733,52,8,20,14,0.0,13
742,53,4,4,1,10.0,1
743,53,6,1,2,8.0,1
744,53,1,22,3,6.0,1
745,53,11,3,4,5.0,1
746,53,1,5,5,4.0,1
747,53,3,7,6,3.0,1
748,53,3,12,7,2.0,1
749,53,9,8,8,1.0,1
750,53,6,2,9,0.0,1
751,53,9,13,10,0.0,1
752,53,5,15,11,0.0,1
753,53,2,10,12,0.0,11
754,53,5,16,13,0.0,11
755,53,7,17,14,0.0,11
756,53,11,6,15,0.0,11
757,53,7,14,16,0.0,11
758,53,13,19,17,0.0,12
759,53,8,20,18,0.0,14
764,54,4,1,1,10.0,1
765,54,4,7,2,8.0,1
766,54,11,2,3,6.0,1
767,54,1,5,4,5.0,1
768,54,6,21,5,4.0,1
769,54,6,14,6,3.0,1
770,54,2,10,7,2.0,1
771,54,7,22,8,1.0,1
772,54,7,9,9,0.0,11
773,54,11,20,10,0.0,11
774,54,5,13,11,0.0,12
775,54,13,15,12,0.0,12
776,54,13,16,13,0.0,12
777,54,8,17,14,0.0,13
786,55,4,3,1,10.0,1
787,55,1,4,2,8.0,1
788,55,7,6,3,6.0,1
789,55,2,8,4,5.0,1
790,55,4,2,5,4.0,1
791,55,2,19,6,3.0,1
792,55,11,16,7,2.0,1
793,55,9,11,8,1.0,1
794,55,5,18,9,0.0,1
795,55,11,1,10,0.0,11
796,55,13,17,11,0.0,11
797,55,8,21,12,0.0,12
798,55,8,22,13,0.0,13
808,56,6,1,1,10.0,1
809,56,4,5,2,8.0,1
810,56,1,7,3,6.0,1
811,56,6,4,4,5.0,1
812,56,1,8,5,4.0,1
813,56,3,10,6,3.0,1
814,56,11,2,7,2.0,1
815,56,4,11,8,1.0,1
816,56,7,6,9,0.0,1
817,56,11,3,10,0.0,1
818,56,3,13,11,0.0,1
819,56,2,12,12,0.0,1
820,56,2,15,13,0.0,11
821,56,5,16,14,0.0,11
822,56,5,18,15,0.0,11
823,56,13,19,16,0.0,12
830,57,6,2,1,10.0,1
831,57,4,1,2,8.0,1
832,57,6,3,3,6.0,1
833,57,1,5,4,5.0,1
834,57,11,4,5,4.0,1
835,57,4,11,6,3.0,1
836,57,3,22,7,2.0,1
837,57,2,9,8,1.0,1
838,57,7,7,9,0.0,11
839,57,2,13,10,0.0,11
840,57,5,17,11,0.0,11
841,57,13,18,12,0.0,11
842,57,13,16,13,0.0,11
852,58,4,1,1,10.0,1
853,58,6,3,2,8.0,1
854,58,4,2,3,6.0,1
855,58,6,4,4,5.0,1
856,58,1,9,5,4.0,1
857,58,11,8,6,3.0,1
858,58,11,5,7,2.0,11
